"parameters.design"	"parameters.trt"	"parameters.r"	"parameters.serie"	"parameters.seed"	"parameters.kinds"	"parameters.TRUE"	"sketch.1"	"sketch.2"	"sketch.3"	"sketch.4"	"sketch.5"	"sketch.6"	"sketch.7"	"sketch.8"	"sketch.9"	"book.plots"	"book.block"	"book.trt"
"rcbd"	"0"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	11	"1"	"Dina"
"rcbd"	"1"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	12	"1"	"5"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	13	"1"	"50"
"rcbd"	"5"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	14	"1"	"0"
"rcbd"	"10"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	15	"1"	"1"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	16	"1"	"20"
"rcbd"	"50"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	17	"1"	"2"
"rcbd"	"100"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	18	"1"	"100"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	19	"1"	"10"
"rcbd"	"0"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	21	"2"	"1"
"rcbd"	"1"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	22	"2"	"2"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	23	"2"	"100"
"rcbd"	"5"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	24	"2"	"0"
"rcbd"	"10"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	25	"2"	"10"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	26	"2"	"20"
"rcbd"	"50"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	27	"2"	"Dina"
"rcbd"	"100"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	28	"2"	"50"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	29	"2"	"5"
"rcbd"	"0"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	31	"3"	"50"
"rcbd"	"1"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	32	"3"	"0"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	33	"3"	"Dina"
"rcbd"	"5"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	34	"3"	"10"
"rcbd"	"10"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	35	"3"	"20"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	36	"3"	"100"
"rcbd"	"50"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	37	"3"	"5"
"rcbd"	"100"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	38	"3"	"1"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	39	"3"	"2"
"rcbd"	"0"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	41	"4"	"10"
"rcbd"	"1"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	42	"4"	"1"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	43	"4"	"100"
"rcbd"	"5"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	44	"4"	"20"
"rcbd"	"10"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	45	"4"	"0"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	46	"4"	"5"
"rcbd"	"50"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	47	"4"	"2"
"rcbd"	"100"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	48	"4"	"Dina"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	49	"4"	"50"
"rcbd"	"0"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	51	"5"	"2"
"rcbd"	"1"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	52	"5"	"20"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	53	"5"	"1"
"rcbd"	"5"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	54	"5"	"50"
"rcbd"	"10"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	55	"5"	"5"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	56	"5"	"10"
"rcbd"	"50"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	57	"5"	"100"
"rcbd"	"100"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	58	"5"	"Dina"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	59	"5"	"0"
"rcbd"	"0"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	61	"6"	"50"
"rcbd"	"1"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	62	"6"	"20"
"rcbd"	"2"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	63	"6"	"0"
"rcbd"	"5"	6	1	1	"default"	TRUE	"Dina"	"5"	"50"	"0"	"1"	"20"	"2"	"100"	"10"	64	"6"	"5"
"rcbd"	"10"	6	1	1	"default"	TRUE	"1"	"2"	"100"	"0"	"10"	"20"	"Dina"	"50"	"5"	65	"6"	"Dina"
"rcbd"	"20"	6	1	1	"default"	TRUE	"50"	"0"	"Dina"	"10"	"20"	"100"	"5"	"1"	"2"	66	"6"	"2"
"rcbd"	"50"	6	1	1	"default"	TRUE	"10"	"1"	"100"	"20"	"0"	"5"	"2"	"Dina"	"50"	67	"6"	"1"
"rcbd"	"100"	6	1	1	"default"	TRUE	"2"	"20"	"1"	"50"	"5"	"10"	"100"	"Dina"	"0"	68	"6"	"100"
"rcbd"	"Dina"	6	1	1	"default"	TRUE	"50"	"20"	"0"	"5"	"Dina"	"2"	"1"	"100"	"10"	69	"6"	"10"
